,trip_date,city,trip_count
837,2017-12-06,sf,4391
838,2017-12-07,boston,3506
839,2017-12-07,sf,4330
840,2017-12-07,nyc,46238
841,2017-12-08,nyc,42058
842,2017-12-08,boston,3304
843,2017-12-08,sf,3954
844,2017-12-09,boston,677
845,2017-12-09,nyc,10963
846,2017-12-09,sf,2137
847,2017-12-10,boston,841
848,2017-12-10,sf,1892
849,2017-12-10,nyc,20076
850,2017-12-11,nyc,42625
851,2017-12-11,sf,4303
852,2017-12-11,boston,2661
853,2017-12-12,sf,4275
854,2017-12-12,boston,2709
855,2017-12-12,nyc,43414
856,2017-12-13,sf,4262
857,2017-12-13,nyc,33177
858,2017-12-13,boston,2274
859,2017-12-14,nyc,27977
860,2017-12-14,sf,4229
861,2017-12-14,boston,2204
862,2017-12-15,nyc,23367
863,2017-12-15,sf,3925
864,2017-12-15,boston,2191
865,2017-12-16,nyc,19350
866,2017-12-16,sf,1944
867,2017-12-16,boston,1143
868,2017-12-17,sf,1789
869,2017-12-17,boston,907
870,2017-12-17,nyc,22724
871,2017-12-18,sf,4010
872,2017-12-18,boston,2283
873,2017-12-18,nyc,40882
874,2017-12-19,sf,3738
875,2017-12-19,nyc,50310
876,2017-12-19,boston,2857
877,2017-12-20,nyc,42158
878,2017-12-20,boston,2741
879,2017-12-20,sf,3514
880,2017-12-21,boston,2175
881,2017-12-21,nyc,38294
882,2017-12-21,sf,2995
883,2017-12-22,sf,2043
884,2017-12-22,nyc,34950
885,2017-12-22,boston,1321
886,2017-12-23,sf,935
887,2017-12-23,boston,205
888,2017-12-23,nyc,9821
889,2017-12-24,nyc,13482
890,2017-12-24,boston,420
891,2017-12-24,sf,819
892,2017-12-25,nyc,6584
893,2017-12-25,boston,93
894,2017-12-25,sf,712
895,2017-12-26,boston,362
896,2017-12-26,sf,1453
897,2017-12-26,nyc,14438
898,2017-12-27,sf,1752
899,2017-12-27,nyc,16740
900,2017-12-27,boston,474
901,2017-12-28,nyc,13709
902,2017-12-28,boston,418
903,2017-12-28,sf,1978
904,2017-12-29,boston,406
905,2017-12-29,sf,1763
906,2017-12-29,nyc,14029
907,2017-12-30,boston,244
908,2017-12-30,sf,1444
